,NN,ResNet,RF,SVM
_best_GMPCA,0.0291013135716124,0.3325808169976452,0.3731484391678682,0.37527235448624335
_best_loss,3.536971965905513,1.1008723897806592,0.985778978267922,0.9801032379944383
_elapsed_time,27.129521109999985,64.94244668900001,0.4104369059999992,3.534470081000002
activation,0.0,,,
hidden_layer_sizes,377.0,,,
learning_rate,0.0,,,
learning_rate_init,0.3185326104690824,,,
max_iter,0.0,,,
solver,2.0,,,
tol,0.0,,,
batch_size,,2.0,,
epochs,,0.0,,
input_dim,,0.0,,
output_dim,,0.0,,
criterion,,,1.0,
max_depth,,,6.0,
max_features,,,3.0,
min_samples_leaf,,,6.0,
min_samples_split,,,9.0,
n_estimators,,,37.0,
C,,,,2.217569741648043
gamma,,,,0.9180300093575556
kernel,,,,0.0
nystrom_components,,,,0.0
