,NN,ResNet,RF
_best_GMPCA,0.5164251007843911,0.3322866062307485,0.5016156421357003
_best_loss,0.6608250139399927,1.101757410691059,0.6899211056685908
_elapsed_time,6.695384490000009,69.05593831100003,1.2339590939999976
activation,0.0,,
hidden_layer_sizes,71.0,,
learning_rate,0.0,,
learning_rate_init,0.2273467529682594,,
max_iter,0.0,,
solver,2.0,,
tol,0.0,,
batch_size,,0.0,
epochs,,0.0,
input_dim,,0.0,
output_dim,,0.0,
criterion,,,1.0
max_depth,,,8.0
max_features,,,4.0
min_samples_leaf,,,16.0
min_samples_split,,,19.0
n_estimators,,,106.0
